"Exp2-Old-Bst2-neg_1" "Exp2-Old-Bst2-neg_2" "Exp2-Old-Bst2-neg_3" "Exp2-Old-Bst2-neg_4" "Exp2-Old-Bst2-pos_1" "Exp2-Old-Bst2-pos_2" "Exp2-Old-Bst2-pos_3" "Exp2-Old-Bst2-pos_4"
"0610005C13Rik" 0 0 0 4 18 3 55 11
"0610007P14Rik" 1783 1233 1823 1667 1519 924 2174 1946
"0610009B22Rik" 1769 1079 1456 1477 1621 736 2154 1886
"0610009L18Rik" 105 39 64 24 42 24 164 190
"0610009O20Rik" 158 129 92 286 74 108 274 250
"0610010B08Rik" 0 0 0 0 0 0 0 0
"0610010F05Rik" 1529 623 1743 1199 803 588 1105 394
"0610010K14Rik" 3043 2081 2270 3262 2273 1585 3146 3841
"0610011F06Rik" 479 432 682 446 384 477 639 808
"0610012G03Rik" 1771 1343 1860 1465 1610 931 1920 1744
"0610030E20Rik" 381 283 464 529 538 124 774 343
"0610031O16Rik" 0 0 0 0 0 0 0 0
"0610037L13Rik" 2752 1795 2023 2437 2288 1282 3154 2425
"0610038B21Rik" 0 0 0 0 0 0 0 0
"0610039H22Rik" 16 19 11 12 43 9 21 23
"0610039K10Rik" 14 0 3 4 0 0 0 0
"0610040B10Rik" 127 114 32 151 89 5 25 78
"0610040F04Rik" 0 1 0 1 1 0 2 0
"0610040J01Rik" 0 0 0 0 0 0 0 0
"0610043K17Rik" 17 0 0 0 0 5 17 0
"1010001N08Rik" 1 0 0 0 0 0 0 0
"1110001J03Rik" 1737 1295 1140 1875 1822 1154 2388 2381
"1110002L01Rik" 18 17 13 0 47 0 12 26
"1110004E09Rik" 873 786 881 1368 820 342 1152 1139
"1110004F10Rik" 9188 4257 6748 7764 6340 3330 7201 9806
"1110006O24Rik" 100 75 124 53 92 18 160 58
"1110007C09Rik" 42 15 28 68 26 0 46 31
"1110008F13Rik" 557 368 474 480 532 226 600 670
"1110008L16Rik" 148 113 125 133 13 10 224 277
"1110008P14Rik" 396 452 468 559 505 254 1000 544
"1110012L19Rik" 779 606 466 936 647 327 645 786
"1110015O18Rik" 0 0 0 0 0 0 0 0
"1110017D15Rik" 0 1 1 0 5 0 0 0
"1110019D14Rik" 145 26 148 68 61 50 169 132
"1110020A21Rik" 84 132 80 59 111 57 210 38
"1110025L11Rik" 0 0 0 0 0 0 0 0
"1110028F11Rik" 0 0 0 0 0 0 0 0
"1110028F18Rik" 0 0 0 0 0 0 0 1
"1110032A03Rik" 983 375 606 744 573 207 905 937
"1110032F04Rik" 178 108 8 8 98 20 152 252
"1110034G24Rik" 157 72 248 379 78 154 131 329
"1110036E04Rik" 0 0 0 0 0 0 0 0
"1110037F02Rik" 334 386 684 123 232 74 594 249
"1110038B12Rik" 481 362 381 415 278 232 262 225
"1110038F14Rik" 1024 594 1167 1044 803 515 1032 830
"1110046J04Rik" 0 0 2 0 0 0 0 0
"1110051M20Rik" 1552 1276 1489 1202 1181 774 1563 1402
"1110058D11Rik" 0 0 0 0 0 0 0 0
"1110059E24Rik" 2288 1319 2245 1735 2254 677 2422 1450
"1110059G10Rik" 500 529 1100 1164 901 387 937 835
"1110065P20Rik" 174 56 76 117 124 53 197 136
"1190002F15Rik" 4688 3097 4566 6196 3859 2532 5680 4928
"1190002N15Rik" 242 54 35 18 20 18 113 617
"1190003K10Rik" 0 0 0 0 0 0 0 0
