Edu_pos_Ki67_pos	Ki67_neg
OldBst2Neg_001	45.2	3.2
OldBst2Neg_002	47.6	5.78
OldBst2Neg_003	36.3	5.65
OldBst2Neg_004	46.4	12.9
OldBst2Neg_005	43.6	10.7
OldBst2Neg_006	52.1	5.84
OldBst2Neg_007	35.9	7.81
OldBst2Neg_008	45.7	8.66
OldBst2Neg_009	36.7	8.26
OldBst2Neg_010	31.2	8.12
OldBst2Neg_011	56.8	16.2
OldBst2Neg_012	52.2	10.7
OldBst2Neg_013	30.4	17.4
OldBst2Neg_014	43.1	15.7
OldBst2Neg_015	35.2	10.5
OldBst2Pos_001	35.6	39
OldBst2Pos_002	21.9	28.1
OldBst2Pos_003	42	17.3
OldBst2Pos_004	28.7	25.5
OldBst2Pos_005	19	39.7
OldBst2Pos_006	46.1	20.2
OldBst2Pos_007	47.8	0
OldBst2Pos_008	27.9	23.3
OldBst2Pos_009	34	10
OldBst2Pos_010	27.1	20
OldBst2Pos_011	34.1	25
OldBst2Pos_012	21.4	28.6
OldBst2Pos_013	24.2	9.09
OldBst2Pos_014	37.5	27.5
OldBst2Pos_015	27.1	16.9
