CD4 Percent of CD3	CD4 Percent of CD45	CD4 Percent of Live	CD8 Percent of CD3	CD8 Percent of CD45	CD8 Percent of Live
old_blood_001	16.1	2.86	1.66	73.9	13.1	7.62
old_blood_002	17.7	3.27	1.74	68.7	12.6	6.76
old_blood_003	22.3	7.44	2.36	76.5	25.5	8.11
old_blood_004	40.5	9.97	2.88	58.1	14.3	4.13
old_blood_005	17.8	7.8	2.79	81.2	35.5	12.7
old_svz_001	4.55	3.11	0.064	89.2	61.1	1.27
old_svz_002	5.66	3.68	0.045	85.8	55.8	0.68
old_svz_003	10.6	5.88	0.097	76.2	42.2	0.7
old_svz_004	8.43	4.58	0.048	86.7	47.1	0.5
old_svz_005	5.56	2.84	0.024	93.5	47.9	0.41
old_hipp_001	16.5	4.41	0.26	75.7	20.2	1.21
old_hipp_002	15.9	6.95	0.14	69.5	30.5	0.64
young_blood_001	61.7	29.7	14.2	31.4	15.1	7.24
young_blood_002	57.8	16.1	8.62	30.7	8.55	4.58
young_blood_003	63.4	17.4	1.97	35.3	9.71	1.1
young_blood_004	56.4	26.1	3.85	43.1	20	2.94
young_svz_001	3.7	1.75	6.90E-03	81.5	38.6	0.15
young_svz_002	21.4	6.25	0.022	64.3	18.8	0.067
young_svz_003	25	1.67	1.95E-03	75	5	5.84E-03
young_svz_004	100	8.33	0.015	0	0	0
young_hipp_001	14.7	6.1	0.072	73.5	30.5	0.36
young_hipp_002	15.9	6.73	0.06	72.7	30.8	0.27
