Edu Positive - Normalized	Bst2 Mean - Normalized	Bst2 Mean - Unnormalized
nsc_only_005	1.013071895	1.003711952	676
nsc_only_006	0.950738916	1.003246753	618
nsc_only_007	1.119305857	0.908444444	511
nsc_only_008	0.992555831	0.946826758	552
nsc_stimantibodies_tcells_antiiifn_001	0.705882353	1.0155902	684
nsc_stimantibodies_tcells_antiiifn_002	0.876847291	0.881493506	543
nsc_stimantibodies_tcells_antiiifn_003	1.193058568	0.769777778	433
nsc_stimantibodies_tcells_antiiifn_004	1.181141439	0.744425386	434
nsc_stimantibodies_tcells_isotype_001	0.692810458	1.229398664	828
nsc_stimantibodies_tcells_isotype_002	0.733990148	1.555194805	958
nsc_stimantibodies_tcells_isotype_003	0.919739696	0.999111111	562
nsc_stimantibodies_tcells_isotype_004	0.794044665	1.183533448	690
nsc_stimantibodies_tcells_001	0.516993464	1.780252413	1199
nsc_stimantibodies_tcells_002	0.600985222	1.714285714	1056
nsc_stimantibodies_tcells_003	0.824295011	1.614222222	908
nsc_stimantibodies_tcells_004	0.684863524	1.720411664	1003
nsc_stimantibodies_001	0.869281046	0.990348924	667
nsc_stimantibodies_002	0.842364532	0.970779221	598
nsc_stimantibodies_003	1.127982646	0.860444444	484
nsc_stimantibodies_004	0.982630273	0.960548885	560
