Edu Positive - Normalized	Bst2 Mean - Normalized	Bst2 Mean - Unnormalized
nsc_il2_12_18_001	1.039215686	1.051224944	708
nsc_il2_12_18_002	0.671717172	1.019480519	628
nsc_il2_12_18_003	1.010845987	0.949333333	534
nsc_il2_12_18_004	1.106699752	0.993138937	579
nsc_only_001	0.986928105	0.996288048	671
nsc_only_002	1.065616798	0.996753247	614
nsc_only_003	1.106290672	0.846222222	476
nsc_only_004	1.071960298	0.838765009	489
nsc_tcells_il2_12_18_antiifn_001	0.888888889	1.095768374	738
nsc_tcells_il2_12_18_antiifn_002	1.079545455	1.00974026	622
nsc_tcells_il2_12_18_antiifn_003	1.084598698	0.858666667	483
nsc_tcells_il2_12_18_antiifn_004	1.081885856	0.898799314	524
nsc_tcells_il2_12_18_isotype_001	0.11503268	6.11878248	4121
nsc_tcells_il2_12_18_isotype_002	0.174153846	7.329545455	4515
nsc_tcells_il2_12_18_isotype_003	0.095444685	7.315555556	4115
nsc_tcells_il2_12_18_isotype_004	0.152853598	7.015437393	4090
nsc_tcells_il2_12_18_001	0.133986928	6.458797327	4350
nsc_tcells_il2_12_18_002	0.214973262	8.12012987	5002
nsc_tcells_il2_12_18_003	0.095878525	9.507555556	5348
nsc_tcells_il2_12_18_004	0.15235732	7.909090909	4611
